text,label
Mistie,ORG
Dayna,PERSON
Angeline,PERSON
Lessie,PERSON
Union Mobile,ORG
PIN,ORG
the last,DATE
Union Mobile,ORG
Tyron,PERSON
Randell,PERSON
Japan,GPE
Earl,PERSON
5,CARDINAL
Donnell,ORG
10,CARDINAL
GB,GPE
data plan,SERVICE
three,CARDINAL
Raymond,PERSON
Union Mobile,ORG
Sue,PERSON
Tracey,PERSON
today,DATE
Firstly,ORDINAL
more per month,DATE
Diane,PERSON
4a,CARDINAL
12.2MP,CARDINAL
8MP,PRODUCT
Android,PRODUCT
Clement,PERSON
escalate,ACTION
this month,DATE
Union Mobile,ORG
Reed,ORG
Kendall,PERSON
first,ORDINAL
Just'm,PERSON
iMessage,ORG
reset,ACTION
Bobbie,PERSON
Devin,PERSON
escalate,ACTION
today,DATE
Gertrude,PERSON
Union Mobile,ORG
Audio Settings,WORK_OF_ART
dropped calls,ISSUE
Ava,PERSON
Union Mobile,ORG
Olivia,PERSON
30,MONEY
VPN,PRODUCT
Thatskeptical,ORG
Union Mobile,ORG
iCloud Drive,FAC
iCloud,ORG
iCloud Drive,FAC
5,CARDINAL
GB,GPE
upgrade,ACTION
Ellen,PERSON
VR,ORG
Owen,PERSON
Ibrahim,PERSON
Lorie,PERSON
Are'll,PERSON
Margie,PERSON
Elvira,PERSON
IoT,ORG
Roxanne,PERSON
Marion,PERSON
Union Mobile,ORG
Virgie,PERSON
Wi-Fi,LOC
Elvira,PERSON
Union Mobile,ORG
Petra,PERSON
First,ORDINAL
Sync,WORK_OF_ART
today,DATE
Anjanette,PERSON
Union Mobile,ORG
Audie,PERSON
Grayson,PERSON
Treva,PERSON
Aida,PERSON
Union Mobile,ORG
Terry,PERSON
Sharon,PERSON
today,DATE
Alejandra,PERSON
morning,TIME
Union Mobile,ORG
Chaya,ORG
today,DATE
refund,ACTION
three,CARDINAL
The Premium Plan,WORK_OF_ART
500 minutes per month,TIME
1000 minutes,TIME
1000 minutes per month,TIME
Malachi,PERSON
Nathalie,PERSON
today,DATE
Samsung Galaxy S21 Ultra,ORG
Jackson,PERSON
20,MONEY
Audrey,PERSON
Eldridge,PERSON
Markel,PERSON
two weeks,DATE
France,GPE
Italy,GPE
Spain,GPE
Nannette,PERSON
James,PERSON
Darrius,PERSON
Denice,PERSON
10,CARDINAL
GB,GPE
10,MONEY
Juanita,PERSON
today,DATE
Tessie,PERSON
Smart,ORG
Union Mobile,ORG
Ramona,PERSON
today,DATE
Kitty,PERSON
Stuart,PERSON
today,DATE
subscription,SERVICE
Velva,PERSON
Gerri,PERSON
today,DATE
Joselyn,PERSON
Samsung Galaxy S21 Ultra,ORG
Android,PRODUCT
11,CARDINAL
Asia,LOC
Union Mobile,ORG
Jeannette,PERSON
today,DATE
escalate,ACTION
Alice,PERSON
the past hour,TIME
today,DATE
1234567890,CARDINAL
Adline,PERSON
Olivia,PERSON
Cara,PERSON
VPN,PRODUCT
Carolina,GPE
Union Mobile,ORG
Union Mobile,ORG
Cole,PRODUCT
today,DATE
Union Mobile,ORG
the Federal Trade Commission,ORG
Brazil,GPE
Nicole,PERSON
Wi-Fi,LOC
Ivory,GPE
Oralia,PERSON
Allie,PERSON
two,CARDINAL
Sandra,PERSON
one,CARDINAL
Hawaii,GPE
Samsung Galaxy S21,PRODUCT
Fortnite and Call of Duty,WORK_OF_ART
First,ORDINAL
Safe Mode,WORK_OF_ART
123,CARDINAL
Union Mobile,ORG
Union Mobile,ORG
Russell,PERSON
today,DATE
Gina,PERSON
PIN,ORG
the last,DATE
Union Mobile,ORG
Shante,PERSON
today,DATE
first,ORDINAL
Linnie,PERSON
upgrade,ACTION
Loma,GPE
today,DATE
Union Mobile,ORG
Avis,PERSON
roaming,SERVICE
Amazon,ORG
Alexa,PERSON
Google Home,ORG
GE Predix,ORG
Siemens MindSphere,ORG
Apple Watch,ORG
Tesla,ORG
Shane,PERSON
Union Mobile,ORG
Robin,PERSON
Gloria,PERSON
Mattie,PERSON
Union Mobile,ORG
Union Mobile,ORG
Denver,GPE
First,ORDINAL
PIN,ORG
Facebook,ORG
Instagram,ORG
First,ORDINAL
the Union Mobile,ORG
Identity Protection,ORG
Kenny,PERSON
Georgiana,PERSON
today,DATE
the next 24 hours,TIME
one,CARDINAL
Leandro,PERSON
today,DATE
Union Mobile,ORG
Lena,PERSON
today,DATE
Donnell,ORG
today,DATE
Union Mobile,ORG
Zackery,PERSON
today,DATE
Union Mobile,ORG
Meta,ORG
today,DATE
200,MONEY
Union Mobile,ORG
Vonda,PERSON
today,DATE
Dovie,PERSON
Caryn,PERSON
Cyrus,PERSON
MQTT,ORG
CoAP,DATE
Location,ORG
555-555-5555,MONEY
Justine,PERSON
Lamar,PERSON
Joanna,PERSON
Bonnie,PERSON
today,DATE
Kacie,PERSON
roaming,SERVICE
Ali,PERSON
IoT,ORG
upgrade,ACTION
weeks,DATE
one,CARDINAL
Wi-Fi,LOC
Union Mobile,ORG
Alda,PERSON
Waylon,PERSON
Cloud Backup for Business,ORG
Kathie,PERSON
Anne,PERSON
today,DATE
around $500,MONEY
VPN,PRODUCT
Reset,ACTION
Florrie,PERSON
Union Mobile,ORG
Rachael,PERSON
today,DATE
Matthew,PERSON
Richard,PERSON
10,CARDINAL
GB,GPE
