subject,relation,object,valid,confidence,doc_id,source,error
account,HAS_BILLING_AMOUNT,$20,True,1.0,82734,talkmap,
TICKET,ESCALATED_TO_CUSTOMER_SUPPORT,CUSTOMER_SUPPORT_TEAM,True,0.0,128473,bitext,
TICKET,ESCALATED_TO,CUSTOMER_SUPPORT_AGENT,True,0.8,39414,talkmap,
ISSUE,OPERATED_BY_LOCATION,CANCUN,True,0.0,140736,bitext,
ISSUE,HELLO_RECIPIENT,TAWNYA,True,0.0,86262,talkmap,
CUSTOMER,HAS_DEVICE,GLOBAL_PASSPORT_PLAN,True,0.0,31425,talkmap,
Issue,ISSUE_LOCATED_IN,Canada,True,0.8,82609,talkmap,
CUSTOMER,RESET_QR_CODE,RESET_QR_CODE_SETTINGS,True,0.8,90115,talkmap,
SUPPORT TICKET,ESCALATED_TO_EXTERNAL_PLATFORM,GOOGLE REVIEWS,True,0.8,150264,bitext,
TICKET,escalated_to_TELECOM_SUPPORT,NOMOROBO,True,0.0,71253,talkmap,
TICKET,ESCALATED_TO,Sheron,True,1.0,34035,talkmap,
TICKET,ESCALATED_TO,ACCOUNT_CREATION,True,0.0,137936,bitext,
ISSUE,LOCATED_AT,OSA,True,1.0,49662,talkmap,
TICKET,ESCALATED_TO,DONATION,True,0.8,30012,talkmap,
TICKET,ESCALATED_TO,WANNACLOSE,True,0.0,112689,bitext,
TICKET,ESCALATED_TO,FE,True,0.8,60760,talkmap,
TICKET,WAS_ESCALATED_TO,THE OLIXAR,True,0.9,8403,talkmap,
CUSTOMER,CAN_RUN,GAME_X,True,1.0,74325,talkmap,
TICKET,ESCALATED_TO_TELECOMsupport,HUAWEI,True,0.9,59627,talkmap,
TICKET,ESCALATED_TO,BENEFITS_PROFILE,True,0.0,152818,bitext,
TICKET,HANDLED_BY,Ryile,True,0.0,90061,talkmap,
ISSUE,ASSIGNED_TO,Cheryle,True,0.8,37449,talkmap,
TICKET,TRANSFERRED_TO_CUSTOMER_SUPPORT_AGENT,ANIYAH,True,1.0,44216,talkmap,
TICKET,ASCESLATED_TO,DATA_THROTTLING,True,0.9,79307,talkmap,
TICKET,ESCALATED_TO,PHONE,True,0.0,82413,talkmap,
TICKET,ESCALATED_TO,DATA_PLUS_PLAN,True,1.0,86484,talkmap,
ACCOUNT,HAS_ACCOUNT_BALANCE,100.0,True,0.8,72923,talkmap,
ISSUE,RELATED_TOlokation,North York,True,1.0,140422,bitext,
ISSUE,ASSIGNED_TO_TELECOM_CUSTOMER_SUPPORT,LELIA,True,1.0,34919,talkmap,
ISSUE,LOCATED_AT,TURKU,True,1.0,140822,bitext,
TICKET,ESCALATED_TO,DATA_ROLL_OVER,True,1.0,69553,talkmap,
TICKET,UPGRADED_TO,iPHONE_14_PRO_256GB,True,1.0,17887,talkmap,
ISSUE,CUSTOMER_SUPPORT_INTERACTION,MARCELINA,True,0.9,20308,talkmap,
TICKET,ESCALATED_TO,TELECOM_SUPPORT_AGENT,True,0.8,93782,talkmap,
TICKET,ESCALATED_TO,IYANA,True,1.0,80395,talkmap,
TICKET,ESCALATED_TO,MORGAN,True,0.0,93631,talkmap,
TICKET,CONFIGURATION_UPDATED,LOCATION_SETTINGS,True,0.0,75623,talkmap,
TICKET,ESCHEMADED,BRAEDON,True,0.0,77806,talkmap,
TICKET,ESCALATED_TO,AR_GLAESS,True,0.7,85617,talkmap,
ISSUE,CALL_CENTER_REPRESENTATIVE,KAELYN,True,0.0,29865,talkmap,
