source,speaker,text
comcast,customer,Comcast Cable Internet Speeds
comcast,customer,Payment disappear - service got disconnected
comcast,customer,Speed and Service
comcast,customer,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.
comcast,customer,Comcast not working and no service to boot
comcast,customer,ISP Charging for arbitrary data limits with overage fees
comcast,customer,Throttling service and unreasonable data caps
comcast,customer,Comcast refuses to help troubleshoot and correct my service.
comcast,customer,Comcast extended outages
comcast,customer,Comcast Raising Prices and Not Being Available To Ask Why
comcast,customer,Billing after service was asked to be disconnected
comcast,customer,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE
comcast,customer,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles
comcast,customer,Internet speed
comcast,customer,Internet Disconnects Every Night
comcast,customer,Internet complaint
comcast,customer,Internet Availability and Speed
comcast,customer,Comcast owes me $65 and claims I need to return equipment I never had
comcast,customer,Horrible Internet Service
comcast,customer,Failure to provide services that I am billed for.
comcast,customer,Internet out all the time but they have a monopoly
comcast,customer,horrible cable service and customer service
comcast,customer,Speed
comcast,customer,Comcast monopoly bundling practices
comcast,customer,COMCAST!
comcast,customer,bait and switch
comcast,customer,Comcast Customer Service
comcast,customer,Apartment Management's Exclusivity Contract with Comcast
comcast,customer,Unable to reach a Comcast agent for internet and billing issues.
comcast,customer,Wifi internet not working as well
comcast,customer,Comcast data caps
comcast,customer,Comcast Internet Data Cap
comcast,customer,XFINITY Movers Edge program
comcast,customer,Comcast Data Internet Usage
comcast,customer,Comcast not refunding my credit
comcast,customer,Comcast
comcast,customer,No Service
comcast,customer,Comcast
comcast,customer,"INTERNET , BILLING AND SERVIE ISSUES"
comcast,customer,Comcast blocking DirecTv signals
comcast,customer,pmts
comcast,customer,Slow Internet Speed
comcast,customer,not getting what I am paying for with internet
comcast,customer,Comcast bandwidth every evening drops to 10% of what is promised to our business
comcast,customer,isp dishonest about speeds
comcast,customer,Deceptive sales- change in billing amount etc.
comcast,customer,Comcast Billing Dispute
comcast,customer,Comcast
comcast,customer,Comcast Billing and Service Issues
comcast,customer,Cable prices rising
comcast,customer,service issues
comcast,customer,HBO GO on Playstation 4
comcast,customer,internet connectivity
comcast,customer,Email issues
comcast,customer,Monopoly
comcast,customer,Complaint against Xfinity/Comcast
comcast,customer,Comcast credit after cancellation has not been received after more than a year
comcast,customer,Comcast False Promises
comcast,customer,Comcast Blocking UDP Port 443
comcast,customer,Issues with Comcast
comcast,customer,Comcast Refuses to Schedule a Future Service Stoppage
comcast,customer,Comcast
comcast,customer,Overbilling
comcast,customer,"Comcast - failure to provide service, refusal to void contract"
comcast,customer,Spotty Comcast service
comcast,customer,without service despite willingness to pay
comcast,customer,Issues with Xfinity/Comcast
comcast,customer,Cable Modem rent for Internet access
comcast,customer,Comcast/Xfinity
comcast,customer,Speed issues
comcast,customer,AT&T
comcast,customer,Fraudulent claims reported to collections agency
comcast,customer,Comcast using a Data Cap to take however much money they like
comcast,customer,Comcast Data Cap
comcast,customer,Speed of service
comcast,customer,Comcast's Monopolistic Practices and Data Capping
comcast,customer,"Comcast data cap ""trials"""
comcast,customer,Comcast billing problem
comcast,customer,Comcast Needs Competition
comcast,customer,Comcast services/billing issues
comcast,customer,Incorrect Bill
comcast,customer,Legality of data caps
comcast,customer,Data caps
comcast,customer,Comcast Added Service After I Declined It
comcast,customer,Comcast Misled With Overage Policy
comcast,customer,Cable service and telephone connect not complete
comcast,customer,Comcast data cap
comcast,customer,Comcast Won't Cancel My Service
comcast,customer,Data Caps
comcast,customer,Comcast disconnecting service before due date
comcast,customer,comcast data cap
comcast,customer,Comcast
comcast,customer,Unbelievable Treatment
comcast,customer,Denial of Comcast Business Service to my dental practice
comcast,customer,Comcast's Terrible Service - How are they still in business?
comcast,customer,they are forcing me for my bank account information by suspending my services for no reason .
comcast,customer,Comcast discontinuation of service issue
comcast,customer,Comcast customer service
comcast,customer,Comcast
comcast,customer,"Comcast bandwidth data caps in Atlanta, GA"
comcast,customer,Comcast won't quit charging me for modem rental
comcast,customer,Comcast download caps
comcast,customer,Horrible Comcast Customer Service
comcast,customer,Data Cap
comcast,customer,Bad Customer Service
comcast,customer,disconnection of service
comcast,customer,Comcast Data Usage Charges
comcast,customer,Comcast refuses service to my address
comcast,customer,Comcast will not let me discuss my bill or service with a representative
comcast,customer,Comcast billing frauds
comcast,customer,Comcast TV/Internet hookup
comcast,customer,no service for 5+ days
comcast,customer,Comcast - Billing
comcast,customer,Comcast Internet
comcast,customer,Comcast speed integrity
comcast,customer,Data cap
comcast,customer,Comcast Atlanta Data Caps
comcast,customer,Comcast Atlanta Data Caps
comcast,customer,COMCAST Poor Customer Service
comcast,customer,Overage on 300GB data plan with Comcast
comcast,customer,Comcast bill
comcast,customer,Comcast Data Cap
comcast,customer,Unfair Billing Practices
comcast,customer,Comcast data caps
comcast,customer,Comcast Refusing to Honor Internet Rate
comcast,customer,speed
comcast,customer,Not Acceptable Internet Additional Charge.
comcast,customer,Comcast internet and cable service
comcast,customer,"Comcast deceptive advertising, overage charges"
comcast,customer,Comcast Data Caps
comcast,customer,Comcast: Xfinity Slamming
comcast,customer,Comcast Support Unable to Provide Accurate Information
comcast,customer,Comcast Data Usage Limits
comcast,customer,Repeated Erroneous Modem Rental Charge
comcast,customer,Xfinity pricing
comcast,customer,Comcast monopoly
comcast,customer,Internet connection both upload and download speeds
comcast,customer,Internet Availability
comcast,customer,"Comcast ""50 mb/s"" speed and throttling"
comcast,customer,Complaint against Comcast
comcast,customer,Comcast
comcast,customer,Comcast Monopolistic Billing Practices
comcast,customer,Internet Throttling
comcast,customer,Data Usage Overage
comcast,customer,double billing after change of service
comcast,customer,Bandwidth Caps becoming excessive
comcast,customer,Comcast data limits
comcast,customer,Unable to cancel xfinity home security
comcast,customer,Comcast trying to setup stuff we didn't order
comcast,customer,Terrible waiting times
comcast,customer,Incorrect prices for new customers
comcast,customer,Comcast is throttling my internet
comcast,customer,Internet Pricing
comcast,customer,MISC. CHARGES
comcast,customer,Comast data cap
comcast,customer,Comcast throttles internet
comcast,customer,throttling
comcast,customer,Forced Bundling of Internet Service with CATV
comcast,customer,Comcast Internet
comcast,customer,Failure to deliver service
comcast,customer,Comcast HBO Go PS4 app
comcast,customer,Comcast's refusal to recognize written notice of termination of service
comcast,customer,Rates
comcast,customer,Termination Fee
comcast,customer,Comcast internet/cable
comcast,customer,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.
comcast,customer,REPEATED Comcast billing issues
comcast,customer,unauthorized comcast username setup
comcast,customer,Services turned off in retaliation for complaints
comcast,customer,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online
comcast,customer,Internet speeds disclosure on bill
comcast,customer,Internet speed not disclosed
comcast,customer,Intermittent Service
comcast,customer,Comcast billing practices
comcast,customer,monopoly
comcast,customer,Consistently Slow and Throttled Internet Speeds
comcast,customer,Paying for high speed internet with Comcast. Consistently getting slow service.
comcast,customer,Comcast Monopoly on Packages is costing me more money for same service
comcast,customer,"hidden fees, dropped internet connection"
comcast,customer,COMCAST HIGH SPEED INTERNET MONOPOLY
comcast,customer,ComCast cable In Maryland
comcast,customer,Billing Dispute & Poor Customer Service
comcast,customer,Comcast change contract
comcast,customer,Comcast throttle
comcast,customer,Xfinity WiFi access
comcast,customer,"No internet, no cable"
comcast,customer,Internet service slow and intermittent
comcast,customer,Comcast Account
comcast,customer,Week long issues with speed and no help from comcast
comcast,customer,Data Usage Cap Maine
comcast,customer,Comcasts Shady Business Practices
comcast,customer,Comcast cable
comcast,customer,Comcast Pricing
comcast,customer,Comcast Complaint
comcast,customer,CABLE
comcast,customer,Comcast Charges
comcast,customer,Comcast
comcast,customer,Internet needed!
comcast,customer,Deceptive Practices
comcast,customer,Comcast fraud
comcast,customer,Complaint CR Comcast Problem - VOIP Phone not working for days
comcast,customer,Comcast
comcast,customer,Double-billing
comcast,customer,download speeds slower than dial-up but paying for 25 Mbps
comcast,customer,Comcast billing error
comcast,customer,Comcast Internet Technical Support
comcast,customer,Comcast Blocking HBOGo on PS4
comcast,customer,Residentail Broadband Data Caps
comcast,customer,Comcast
comcast,customer,Monthly Charges Increased without any notice
comcast,customer,Comcast internet for low income families
comcast,customer,Comcast internet for low income families
comcast,customer,Comcast Service and customer service representative
comcast,customer,Poor internet connection/dropped connection since installation of new modem
comcast,customer,Comcast Billing
comcast,customer,Bank Fee Refund Reques
comcast,customer,COMCAST Unfair Charge
comcast,customer,Wrongful Billing
comcast,customer,Billing problem
comcast,customer,Service refusal and lower than advertised speeds.
comcast,customer,COMCAST - MAJOR COMPLAINT 1ST TIME CUSTOMER - AGGRAVATED HEALTH ISSUES
comcast,customer,Connecting the service
comcast,customer,Over Charge by lying
comcast,customer,Comcast keeps changing bill and every time gives new reasons!
comcast,customer,Ad in craigslist was a scam for selling product not owned
comcast,customer,Comcast Internet
comcast,customer,Comcast billing after discontinuation of service
comcast,customer,COMPLAINT AGAINST COMCAST
comcast,customer,Comcast data cap
comcast,customer,Comcast Issues
comcast,customer,Comcast charging a fee without disclosing
comcast,customer,increased bill
comcast,customer,"Incorrect charges, and would not fix"
comcast,customer,Suspected Throttling
comcast,customer,constant disruption of internet service
comcast,customer,Comcast Unfair Billing Practices
comcast,customer,Incorrect Billing and Service from Comcast
comcast,customer,Comcast reduced my internet speed
comcast,customer,Keep getting charged rental fees for modem I already own
comcast,customer,Dealing with Comcast/Xfinity
comcast,customer,Over Billing
comcast,customer,Billing
comcast,customer,Awful Service!
comcast,customer,Comcast bad practices
comcast,customer,Billing for equipment that was not provided to me
comcast,customer,Comcast Speed Issues
comcast,customer,Technical Support
comcast,customer,Failure to supply the proper Internet service
comcast,customer,Comcast disconnected my account without reason or notice
comcast,customer,Bad Service/drop calls/no support
comcast,customer,Modem rental fees
comcast,customer,Comcast - issues galore
comcast,customer,Monopolistic behavior
comcast,customer,bait and switch pricing
comcast,customer,hbo go comcast
comcast,customer,Comcast Slow Internet
comcast,customer,Slow Internet Speeds
comcast,customer,Comcast Billing pratice
comcast,customer,Comcast overbilled me and added numerous hidden charges
comcast,customer,Unfair billing practices of Comcast
comcast,customer,HBO GO blocked on Amazon Fire TV
comcast,customer,Comcast Outage/poor service 6/1
comcast,customer,Comcast Agreement
comcast,customer,False contract repersentation
comcast,customer,"Extremely low speeds, and no help"
comcast,customer,Comcast throttling download speed.
comcast,customer,broadband interuption
comcast,customer,low internet speed
comcast,customer,Incorrect Billing
comcast,customer,Comcast - Diversified Consultants
comcast,customer,COMCAST BILLING FOR LAST mos for services they are unable or unwilling to provide
comcast,customer,Comcast blocks HBO GO on PS4
comcast,customer,Comcast data usage charges
comcast,customer,Comcast Bandwidth Billing Issue
comcast,customer,Comcast Internet speeds
comcast,customer,Comcast slow internet service
comcast,customer,Comcast Slow Internet
comcast,customer,Comcast internet freezes up
comcast,customer,Comcast changed my account plan after i said no about 2-3 times
comcast,customer,lack of service from comcast
comcast,customer,Comcast
comcast,customer,Comcast
comcast,customer,credit for service outage 6/23/15
comcast,customer,Unauthorized billing
comcast,customer,Billing overcharges
comcast,customer,internet/phone
comcast,customer,Comcast Throttling My Internet
comcast,customer,Double billing from Comcast
comcast,customer,Billing Over Charges
comcast,customer,Internet Only
comcast,customer,Continuing overcharges
comcast,customer,Home Security Forgery/Fraud
comcast,customer,2+ Day Degraded Services
comcast,customer,Internet Bill too high
comcast,customer,Over paying for my Comcast Services
comcast,customer,Fees not disclosed before service was installed
comcast,customer,comcast service
comcast,customer,Poor customer service
comcast,customer,Billed for service never received
comcast,customer,Comcast
comcast,customer,disrupted internet service
comcast,customer,Comcast Billing / Speed Issues
comcast,customer,Have to bundle services to get advertised proce.
comcast,customer,Comcast policies
comcast,customer,Internet Throttling
comcast,customer,Unfair Billing Practices
comcast,customer,Cocmast billing issues
comcast,customer,Comcast service that didn't work
comcast,customer,Data Limit
comcast,customer,Pricing is not competive
comcast,customer,comcast billing practices-unfair
comcast,customer,Comcast
comcast,customer,Slow Internet
comcast,customer,Internet Service
comcast,customer,Xfinity False Advertisement
comcast,customer,"Comcast - constantly low speeds, 'miscommunication' about billing errors. Not responding to complaints."
comcast,customer,Comcast HBO-Go Application and Sony Products
comcast,customer,Never resolved problem with Comcast
comcast,customer,Slow Speed with the entire connection
comcast,customer,Comcast Possibly Throttling my Internet
comcast,customer,Comcast sucks
comcast,customer,"Issues with Comcast regarding service, billing, etc"
comcast,customer,Internet/TV Billing
comcast,customer,difficulty to cancel services before moving
comcast,customer,Comcast Incompetence/Lies/Robbery
comcast,customer,"Comcast is ""forcing"" bundles on me while silently raising my bill"
comcast,customer,Internet Slowdown
comcast,customer,Comcast price
comcast,customer,Comcast fails to fulfill request for Internet service
comcast,customer,Hidden Product Installation Fee
comcast,customer,2 months and Comcast has not fixed problem
comcast,customer,FCC Complaint against comcast/xfinity on providing false information.
comcast,customer,Comcast internet
comcast,customer,Comcast internet
comcast,customer,service issues
comcast,customer,Comcast Xfinity 300G over charge
comcast,customer,Internet Availability
comcast,customer,Comcast Usage Caps
comcast,customer,Comcast Data Usage Caps
comcast,customer,Data Caps and the Extortion Methods of Comcast
comcast,customer,No internet service
comcast,customer,No service
comcast,customer,Billing discrepencies and service termination hurdles
comcast,customer,Billing & Data Usage
comcast,customer,"Bait and switch, unfulfilled incentives"
comcast,customer,internet speed
comcast,customer,Comcast wont refund me for over charge
comcast,customer,comcast internet debacle
comcast,customer,Price and performance manipulation by Comcast for ISP
comcast,customer,Complaint against Comcast
comcast,customer,Comcast Internet Speed
comcast,customer,Comcast complaint
comcast,customer,Data Caps
comcast,customer,comcast unwilling to resolve data usage issue
comcast,customer,comcast unwilling to resolve data usage issue
comcast,customer,comcast data cap
comcast,customer,Comcast Data usage meter
comcast,customer,Comcast Internet Data Cap LIES
comcast,customer,"Comcast promised $60 a month no fees, charged $70 + $8 in fees"
comcast,customer,Comcast Cable connection from street is underwater and structure is too high
comcast,customer,West Coast Service Issues - Comcast
comcast,customer,Comcast refuses to uhold contract for 2 years phone/internet
comcast,customer,Comcast business internet is much more expensive that home internet.
comcast,customer,Comcast Internet Usage Cap
comcast,customer,Comcast poor service
comcast,customer,Comcast Corporation Data Caps
comcast,customer,comcast throttling my internet service
comcast,customer,billing/service issues
comcast,customer,Unethical Charges
comcast,customer,Comcast Data Cap
comcast,customer,Comcast wrongfully autodrafted a final bill that was not yet adjusted
comcast,customer,Comcast Internet
comcast,customer,Comcast data cap at 300GB
comcast,customer,Internet speeds are throttled
comcast,customer,Complex situation prevents bundling discounts and drives service price up
comcast,customer,Comcast Internet prices & speeds
comcast,customer,Comcast overcharging
comcast,customer,Reimbursement I've never recieved
comcast,customer,constant internet issues
comcast,customer,Xfinity
comcast,customer,Xfinity/Comcast
comcast,customer,Comcast Hard Inquiries
comcast,customer,comcast jamming signal
comcast,customer,Comcast lied to me
comcast,customer,Terrible customer service and process
comcast,customer,Comcast & HBO GO on PS4
comcast,customer,Run around
comcast,customer,Comcast Service and Customer service issues
comcast,customer,Comcast pricing scam
comcast,customer,Comcast Disconnect
comcast,customer,COMCAST THROTTLING SPEEDS AND DATA CAPS
comcast,customer,Closed Captioning of Online Videos
comcast,customer,Comcast problems
comcast,customer,Removed discount after I complained about an unauthorized charge
comcast,customer,complaint regarding Comcast
comcast,customer,COMCAST INTERNET CONNECTION CHEAT
comcast,customer,Wireless Signal issues/frequent connection drop
comcast,customer,"Comcast is ripping me off, and I can't be quiet anymore"
comcast,customer,Billing Dispute
comcast,customer,complaint about Comcast
comcast,customer,Comcast
comcast,customer,Internet Speeds Not as Advertised
comcast,customer,Comcast & Sony Playstation Devices
comcast,customer,Comcast Wifi Issues
comcast,customer,Comcast Internet
comcast,customer,comcast
comcast,customer,Comcast is giving me poor quality customer service.
comcast,customer,Comcast no show tech
comcast,customer,Comcast internet
comcast,customer,horrible service charges for tech/installation applied when they shouldnt have
comcast,customer,Slow Internet/ Billing/ poor customer service of your complaints
comcast,customer,no service
comcast,customer,Comcast Outages
comcast,customer,comcast internet connection and speed
comcast,customer,Comcast Cable & Internet
comcast,customer,comcast: no service for one month
comcast,customer,Comcast
comcast,customer,Comcast did not remove charge for over a year
comcast,customer,Comcast charging for services not rendered
comcast,customer,price inflation due to monopoly of Comcast
comcast,customer,Double charge my internet service every month
comcast,customer,Unfair Billing Practices
comcast,customer,Comcast Billing/Monopoly/Service
comcast,customer,Tricked into upgrade
comcast,customer,Comcast Unfair Business Practices
comcast,customer,internet speeds slow
comcast,customer,Faulty Service and False Advertisement
comcast,customer,Comcast started charging a lease fee for equipment I own after enabling automatic bill payment
comcast,customer,Comcast/Xfinity Service Manipulation
comcast,customer,unsatisfactory speed with disorganized service
comcast,customer,Comcast billing and service
comcast,customer,Unfair Billing Practices
comcast,customer,Xfinity Price and not 16Mbps when paying for 50Mbps
comcast,customer,Xfinity Order Status
comcast,customer,Comcast violating Open Internet rules
comcast,customer,Billing/Customer Service
comcast,customer,Comcast is double billing me and not processing my credit back to me
comcast,customer,Comcast internet speeds
comcast,customer,Comcast lies and deception
comcast,customer,Comcast over billing
comcast,customer,"Comcast Internet, cable, and phone outtages"
comcast,customer,Internet connection outage
comcast,customer,Comcast Throttling Internet Speed
comcast,customer,"Comcast Xfinity Overage Charges, No Assistance"
comcast,customer,Service outages
comcast,customer,Comcast Billing
comcast,customer,Charges not authorized
comcast,customer,comcast/xfinity
comcast,customer,Cocmast
comcast,customer,Comcast/Xfinity
comcast,customer,XFINITY/COMCAST TETHERING CONNECTION
comcast,customer,"XFinity ""Comcast"" CLOSED SCHEDULED APPT AND SAID IT WAS OPEN"
comcast,customer,Service Issues
comcast,customer,ComCast Internet Outage
comcast,customer,Comcast
comcast,customer,Additional Usage @$10/50GB
comcast,customer,Comcast data caps
comcast,customer,Comcast billing practices
comcast,customer,very poor customer service
comcast,customer,internet speed
comcast,customer,Another Fraudulenct collection claim from Comcast
comcast,customer,Comcast and CenturyLink failing Wissler Ranch Colorado Community
comcast,customer,"Tried to cancel, was lied to about change in service"
comcast,customer,Xfinity Throttling Apple TV bitrate
comcast,customer,Comcast Termination Fee
comcast,customer,Unresolved Issues
comcast,customer,no warning before price increase
comcast,customer,Comcast unfair billing
comcast,customer,Comcast overbilling and overcharging
comcast,customer,COMCAST SERVICE COMPLAINT
comcast,customer,Charge to my bill unknowingly
comcast,customer,billing
comcast,customer,Internet and phone pricing
comcast,customer,"Worst speed, no competition, and billing does not match the service."
comcast,customer,Comcast bundled service
comcast,customer,Charged for equipment that I didn't have
comcast,customer,"Comcast misrepresented their service area, then charged me for attempting to use it."
comcast,customer,Comcast Xfinity
comcast,customer,Comcast Does Not Deliver Service
comcast,customer,Slow internet speeds on Comcast
comcast,customer,Comcast service
comcast,customer,Nonsensical Raise in my Internet Bill
comcast,customer,Comcast service billing
comcast,customer,Comcast Runaround
comcast,customer,Cruel and Illegal Practices - Comcast
comcast,customer,Throttled speed
comcast,customer,Transfer services
comcast,customer,Comcast agent lied about service upgrade
comcast,customer,Customer Service Representative Lied About Rates and Promotions
comcast,customer,"Comcast service Corvallis, OR."
comcast,customer,Unexplained Billing
comcast,customer,Comcast/Xfinity Internet
comcast,customer,Lack of availability
comcast,customer,Comcast bill problems
comcast,customer,Unfair billing practices
comcast,customer,Comcast Data Caps
comcast,customer,Comcast Internet is unbelievably slow
comcast,customer,Comcast Refuse to Refund Rental Fee made in error
comcast,customer,COMCAST
comcast,customer,Issues with Cable and Internet Packaging Unfair Prices
comcast,customer,Comcast Internet Speed and Reliability
comcast,customer,cable internet
comcast,customer,Monopoly and Deceit: The 300GB Data Cap
comcast,customer,comcast xfinity home security service
comcast,customer,Comcast bait and switch
comcast,customer,"Comcast Data Cap in Atlanta, GA"
comcast,customer,Cap on data usage
comcast,customer,Data Cap
comcast,customer,Data usage
comcast,customer,Extorted into signing up for multi-year contract
comcast,customer,Comcast Selectively Enforcing Data Caps
comcast,customer,Comcast Usage Caps
comcast,customer,Comcast Internet Service Bad Quality
comcast,customer,Ping spikes and packet loss
comcast,customer,Comcast complaint
comcast,customer,comcast phone & internet billing issue
comcast,customer,Comcast Xfinity charging rental fee for personally owned modem
comcast,customer,Horrific billing
comcast,customer,Comcast / Xfinity overcharging for internet / internet cap
comcast,customer,Comcast Money Grab using Data Caps
comcast,customer,Comcast Internet Service Provider
comcast,customer,Fraudulent charges by Comcast
comcast,customer,Comcast Data Cap Compliant
comcast,customer,Billings Charges & Credits
comcast,customer,"Comcast Data Cap Limits, Lack of Competition, and Anti-Competition Business and Billing Practices"
comcast,customer,Deceptive Billing Practices
comcast,customer,Billing Complaint
comcast,customer,Comcast Unfair Billing Practices
comcast,customer,"Comcast ""property access"" or ""right of entry"""
comcast,customer,Internet speed
comcast,customer,Robber Barron Billing Practices
comcast,customer,Fradualent claims
comcast,customer,Xfinity Comcast hbogo on ps4
comcast,customer,comcast failure to respond to user communication
comcast,customer,xfinitty tv and exfinity alarm
