doc_id,subject,subject_type,relation,object,object_type,evidence_text,confidence,extraction_method,source,llm_valid,llm_confidence,valid,error,final_confidence
7336,ISSUE,ISSUE,has_error_code,XYZ123,ERROR_CODE,"Sure, it's XYZ123.",0.95,regex,talkmap,True,0.95,,,0.95
16562,CUSTOMER,CUSTOMER,related_to_account,1-,PHONE_NUMBER,"I see. Sorry to hear that. Unfortunately, our department doesn't handle Cloud Machine Learning support. You'll need to contact our specialized team for assistance with that. May's their number: 1-800-123-4567. They'll be able to help you resolve the issue.",0.95,regex,talkmap,True,0.95,,,0.95
6411,ISSUE,ISSUE,related_to_account,PB1000,ACCOUNT_ID,Thank you for Kelli. One moment please while I check on that information. It looks like the UM-PB1000 has a 12year warranty. Have you had any previous where you may have damaged the power bank or exposed it to water?,0.95,regex,talkmap,True,0.95,,,0.95
6411,ISSUE,ISSUE,has_error_code,PB1000,ERROR_CODE,Thank you for Kelli. One moment please while I check on that information. It looks like the UM-PB1000 has a 12year warranty. Have you had any previous where you may have damaged the power bank or exposed it to water?,0.95,regex,talkmap,True,0.95,,,0.95
69226,CUSTOMER,CUSTOMER,related_to_account,5,PHONE_NUMBER,"Sure, my account PIN is 1234 and my phone number is 555-555-1234.",0.95,regex,talkmap,True,0.95,,,0.95
56708,ISSUE,ISSUE,related_to_account,XX1234567890,ACCOUNT_ID,"Sure, my account number is XX1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
94390,CUSTOMER,CUSTOMER,related_to_account,34,PHONE_NUMBER,"Sure, my friend is in Spain and the phone number is +34 123 456 7890.",0.95,regex,talkmap,True,0.95,,,0.95
8178,ISSUE,ISSUE,has_error_code,HX-1000,ERROR_CODE,"Sure, they're the Union Mobile HX-1000 and I've had them for about 6 months now.",0.95,regex,talkmap,True,0.95,,,0.95
67183,ISSUE,ISSUE,related_to_account,ABC12345,ACCOUNT_ID,"Sure, it serial number is ABC12345.",0.95,regex,talkmap,True,0.95,,,0.95
67183,ISSUE,ISSUE,has_error_code,ABC12345,ERROR_CODE,"Sure, it serial number is ABC12345.",0.95,regex,talkmap,True,0.95,,,0.95
4376,CUSTOMER,CUSTOMER,related_to_account,012,PHONE_NUMBER,"Sure, my account number is 1234567890 and the device number is 01234567890.",0.95,regex,talkmap,True,0.95,,,0.95
53137,ISSUE,ISSUE,related_to_account,ABC1234567890,ACCOUNT_ID,"Sure, the serial number is ABC1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
53137,ISSUE,ISSUE,has_error_code,ABC1234567890,ERROR_CODE,"Sure, the serial number is ABC1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
52853,CUSTOMER,CUSTOMER,related_to_account,98,PHONE_NUMBER,"Sure, I'm trying to pay $100 to John Smith's mobile number 9876543210.",0.95,regex,talkmap,True,0.95,,,0.95
27552,CUSTOMER,CUSTOMER,related_to_account,5-,PHONE_NUMBER,The number for our billing department is 5-800-123-4567. They're available 24/7 to assist you.,0.95,regex,talkmap,True,0.95,,,0.95
27959,CUSTOMER,CUSTOMER,related_to_account,8,PHONE_NUMBER,"Of course, the phone number for the local carrier is +++-800-123-4567. They will be able to assist you with getting data connection issues.",0.95,regex,talkmap,True,0.95,,,0.95
28011,ISSUE,ISSUE,has_error_code,RO23,ERROR_CODE,"Thank you, Cleo. One moment please while I check on that for you. It looks like your phone is compatible with our roaming. However, I'm afraid we don't offer international roaming services. You'll need to contact our international roaming department at 1-800-RO23-4567 to discuss up a roaming plan.",0.95,regex,talkmap,True,0.95,,,0.95
28680,ISSUE,ISSUE,has_error_code,XXKL356,ERROR_CODE,"Sure, it's XXKL356.",0.95,regex,talkmap,True,0.95,,,0.95
84701,ISSUE,ISSUE,related_to_account,RF3456789,ACCOUNT_ID,"Sure, it's RF3456789.",0.95,regex,talkmap,True,0.95,,,0.95
84701,ISSUE,ISSUE,has_error_code,RF3456789,ERROR_CODE,"Sure, it's RF3456789.",0.95,regex,talkmap,True,0.95,,,0.95
37864,ISSUE,ISSUE,has_error_code,WD-40,ERROR_CODE,"Alright, no problem. Another thing we can try is to use a small amount of lubricant, such as WD-40 or silicone spray, on the edges of the phone where it connects to the mount. This can help the phone come out more easily. Would you like me to walk you through how to do that?",0.95,regex,talkmap,True,0.95,,,0.95
37173,ISSUE,ISSUE,has_error_code,HX-100,ERROR_CODE,"Sure, the model number is HX-100 and I'm using a Samsung Galaxy S22.",0.95,regex,talkmap,True,0.95,,,0.95
37079,ISSUE,ISSUE,related_to_account,MNO789012,ACCOUNT_ID,"Okay, let passport number is MNO789012.",0.95,regex,talkmap,True,0.95,,,0.95
